imdb_title_id,title,original_title,Combined,Poster
tt0051399,Bari Theke Paliye,Bari Theke Paliye,Bari Theke Paliye  Drama Ritwik Ghatak  Shibram Chakraborty  Ritwik Ghatak  Param Bhattaraka Lahiri  Padmadevi  Gyanesh Mukherjee  Kali Bannerjee  Bijon Bhattacharya  Satindra Bhattacharya  Nripati Chatterjee  Shriman Deepak  Shailen Ghosh  Krishna Jaya  Keshto Mukherjee  Niti Pandit  Jahar Roy  A misbehaving boy who runs away from his village and goes to Calcutta ,https://image.tmdb.org/t/p/original/wJEk59MWc6NM3TcnSNYFXu3X3Rs.jpg
tt0051747,Howrah Bridge,Howrah Bridge,Howrah Bridge  Musical  Thriller Shakti Samanta  Ranjan Bose  Ranjan Bose  Madhubala  Ashok Kumar  K N  Singh  Om Prakash  Madan Puri  Dhumal  Kammo  Sunder  Brahm Bhardwaj  Helen  Mehmood  Minoo Mumtaz  Chaman Puri  Rakesh lives with his brother  Madan  and his dad in Rangoon  Madan has fallen into bad company and steals the family heirloom  in the shape of a dragon  some cash and runs away to India     ,https://image.tmdb.org/t/p/original/jcZQRmXILaz02jLlyHfjGopkBDu.jpg
tt0051792,La sala da musica,Jalsaghar,Jalsaghar  Drama  Music Satyajit Ray  Tarashankar Banerjee  Satyajit Ray  Chhabi Biswas  Sardar Akhtar  Gangapada Basu  Bismillah Khan  Salamat Ali Khan  Waheed Khan  Roshan Kumari  Tulsi Lahiri  Tarapada Nandy  Padmadevi  Kali Sarkar  Pinaki Sengupta  Depicts the end days of a decadent zamindar (landlord) in Bengal  and his efforts to uphold his family prestige even when faced with economic adversity ,https://image.tmdb.org/t/p/original/ggpHGix3OPgIpvIaoojAQ125XJO.jpg
tt0051806,Kala Pani,Kala Pani,Kala Pani  Crime  Musical  Romance Raj Khosla  A J  Cronin  G R  Kamath  Dev Anand  Madhubala  Nalini Jaywant  Agha  Nasir Hussain  D K  Sapru  Kishore Sahu  Krishan Dhawan  Mukri  M A  Latif  Bir Sakuja  Jankidas  Praveen Paul  Mumtaz Begum  Heera Sawant  Based on A J Cronin's 'Beyond This Place'  this movie narrates the story of an untiring crusade for justice  A young man  learning about his father's wrongful implication in a    ,https://image.tmdb.org/t/p/original/79eRXEcTmIYI5jPej6N4hDhx47q.jpg
tt0052046,Parash Pathar,Parash Pathar,Parash Pathar  Comedy Satyajit Ray  Rajshekhar 'Parashuram' Basu  Satyajit Ray  Tulsi Chakraborty  Kali Bannerjee  Ranibala  Gangapada Basu  Haridhan Mukherjee  Jahar Roy  Chhabi Biswas  Bharati Devi  Chandrabati Devi  Jahar Ganguli  Subodh Ganguli  Tulsi Lahiri  Kamal Mitra  Nitish Mukherjee  Amar Mullick  An underpaid middle-aged clerk finds a 'parash pathar'  a stone that changes iron to gold on touch ,https://image.tmdb.org/t/p/original/nWWQiaXmlIAzKj21bBNSLqMRPk6.jpg
tt0052217,Solva Saal,Solva Saal,Solva Saal  Comedy  Romance  Thriller Raj Khosla  Omkar Dogra  Raj Khosla  Dev Anand  Waheeda Rehman  Jagdev  Kammo  Bir Sakuja  Sunder  Bipin Gupta  A  Kapoor  Mauji  Prabhu  Tun Tun  Anil  Balbir  Leela  Kuthiravattam Pappu  A woman elopes with her boyfriend but finds that he has ditched her and made off with her family heirloom  Now she  alongwith a helpful news reporter  have to retrieve the necklace and get    ,https://image.tmdb.org/t/p/original/kEh7vGK4nRaTikYrNpIGWEJZsmX.jpg
tt0052411,Yahudi,Yahudi,Yahudi  Action  Drama  Romance Bimal Roy  Nabendu Ghosh  Wajahat Mirza  Sohrab Modi  Dilip Kumar  Meena Kumari  Nigar Sultana  Nasir Hussain  Anwar Hussain  Minoo Mumtaz  Tiwari  Murad  Indira  Adil  Vikram Kapoor  Kumari Naaz  Master Romi  Helen  A vengeful Jew adopts an abducted Roman child  who grows up and unknowingly falls in love with a Roman ,https://image.tmdb.org/t/p/original/8VreA4E65yCVftQNDTzJ1lgK2Q1.jpg
tt0052560,Anari,Anari,Anari  Comedy  Drama  Musical Hrishikesh Mukherjee  Inder Raj Anand  Inder Raj Anand  Raj Kapoor  Nutan  Lalita Pawar  Shubha Khote  Motilal  Mukri  Ashim Kumar  Nana Palsikar  Paul Mahendra  Brahm Bhardwaj  Vishwa Mehra  Ruby Mayer  Meena T   Aruna  Viren  A poor young man gets employed by a rich man admiring his honesty  But when he gets suspected in a lady's murder case  he need to prove his innocence ,https://image.tmdb.org/t/p/original/vs6vrTNNfc71PrzcrHSdBV6teex.jpg
tt0052572,Il mondo di Apu,Apur Sansar,Apur Sansar  Drama Satyajit Ray  Bibhutibhushan Bandyopadhyay  Satyajit Ray  Soumitra Chatterjee  Sharmila Tagore  Alok Chakravarty  Swapan Mukherjee  Tushar Bandyopadhyay  Gupi Banerjee  Panchanan Bhattacharya  Shanti Bhattacherjee  Jiten Bhons  Abhijit Chatterjee  Jogesh Chatterjee  Asha Devi  Belarani Devi  Sefalika Devi  Biren Ghosh  This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer ,https://image.tmdb.org/t/p/original/6Tz1Q69o2n3Zwb0ZffzPL0nFt2T.jpg
tt0052736,Dhool Ka Phool,Dhool Ka Phool,Dhool Ka Phool  Drama Yash Chopra  Mukhram Sharma  Mukhram Sharma  Mala Sinha  Rajendra Kumar  Nanda  Manmohan Krishna  Leela Chitnis  Daisy Irani  Amir Banu  Mohan Choti  Master Kelly  R P  Kapoor  Jagdish Raj  Uma Dutt  Ravikant  Narbada Shankar  Nissar  Meena Khosla has an bicycle accident with fellow collegian Mahesh Kapoor  and after a few misunderstandings both fall in love with each other  They would like to get married  plan    ,https://image.tmdb.org/t/p/original/4ZKIWzh7CJVkxPy80PRNrzeTIDB.jpg
